ID,Title,Subject,OriginalQuestion,Source,Date,ErrorReason,WrongSolution,CorrectSolution,SRSEnabled,ExposureCount,MasteryScore,MasteryHistory
05e4a9bc-d67c-4e7e-889a-03a72c07950c,二次函数易错点,Chinese,题目：二次函数易错点。这是一道典型的易错题，需要认真思考。,来自：Quiz 1,2025-12-27 23:02:56,概念理解不清,没有完全理解概念，知识点混淆了,仔细审清题意，圈出关键词，避免理解偏差,true,4,0.4654,[]
928bfd2f-8187-48c2-b4f1-f298fa195e25,生态系统能量流动,Mathematics,题目内容：生态系统能量流动。这是一道典型的易错题，需要认真思考。,来自：Mock Exam 2,2025-09-28 23:02:56,公式记错,步骤错了！思路不对，整个方向都错了,巩固基础，加强复习，概念要清晰，步骤要规范,true,1,0.2514,[]
0e138623-b19a-46ad-b414-35ba7e86e89b,物理受力分析,English,题目内容：物理受力分析。这是一道典型的易错题，需要认真思考。,来自：寒假作业检查,2025-10-16 23:02:56,书写格式错误,公式记错了，应该是另一个公式,巩固基础，加强复习，概念要清晰，步骤要规范,true,4,0.3764,[]
8b33db9b-210f-4f2e-aaf9-e4444e3bc4ac,向量运算错误,Physics,经典错题：向量运算错误。这是一道典型的易错题，需要认真思考。,来自：Mock Exam,2026-03-17 23:02:56,粗心大意,计算步骤出错，中间某一步的数值算错了,牢记基础方法: 1.理解题意 2.回忆知识点 3.解题 4.检查总结,true,1,0.5058,[]
a35fc2b0-0c87-41bb-99b3-160c48821d5b,阅读理解主旨大意题,Chemistry,题目内容：阅读理解主旨大意题。这是一道典型的易错题，需要认真思考。,来自：期中考试,2026-06-22 23:02:56,粗心大意,计算步骤出错，中间某一步的数值算错了,首先分析问题，理清思路，再逐步计算,true,5,0.2991,[]
adbc65c1-ef69-49ab-a540-6688ea198408,完形填空高频错题,Biology,经典错题：完形填空高频错题。这是一道典型的易错题，需要认真思考。,来自：适应性考试,2025-10-10 23:02:56,思路不清,中间步骤有错误，导致后面的计算都错了,重新整理知识点，找到正确方法,true,8,0.2860,[]
c0b7bb3a-9164-402b-a680-5f73929636fc,立体几何三视图,History,题目内容：立体几何三视图。这是一道典型的易错题，需要认真思考。,来自：期末复习,2025-10-22 23:02:56,计算失误,步骤全错了，得重新学习这部分内容,仔细审清题意，圈出关键词，避免理解偏差,true,1,0.7474,[]
d7134d16-4989-43dc-aab5-40da60d758d9,电磁感应综合题,Geography,题目内容：电磁感应综合题。这是一道典型的易错题，需要认真思考。,来自：寒假作业检查,2026-03-05 23:02:56,知识点遗漏,公式记错了，应该是另一个公式,巩固基础，加强复习，概念要清晰，步骤要规范,true,7,0.4889,[]
bf94864d-ed11-4c9e-b674-01abfa33e344,生态系统能量流动,Politics,易错典型题：生态系统能量流动。这是一道典型的易错题，需要认真思考。,来自：Pre-Mock Exam,2026-05-25 23:02:56,计算失误,理解题目有偏差，理解错了题目中的关键条件,重新整理知识点，找到正确方法,true,2,0.6943,[]
358a3269-2b62-4f07-b782-18a737c3f5fa,化学实验装置连接问题,Politics,题目内容：化学实验装置连接问题。这是一道典型的易错题，需要认真思考。,来自：Pre-Mock Exam,2025-09-29 23:02:56,记忆错误,错误原因：使用了错误的方法一，导致结果偏离,重新整理知识点，找到正确方法,true,2,0.8087,[]
e7a926b3-0a1b-49e9-973d-9350b1bd1706,物理受力分析,Geography,题目内容：物理受力分析。这是一道典型的易错题，需要认真思考。,来自：暑假作业检查,2025-09-16 23:02:56,书写格式错误,没有完全理解概念，知识点混淆了,首先分析问题，理清思路，再逐步计算,true,7,0.5461,[]
0650fa46-09db-47af-bd53-d23f1fe05edb,物理受力分析,Politics,易错典型题：物理受力分析。这是一道典型的易错题，需要认真思考。,来自：月考,2025-12-26 23:02:56,书写格式错误,步骤全错了，得重新学习这部分内容,强化训练类似题目，总结常见错误和正确思路,true,7,0.6097,[]
03559a60-3025-4511-b217-c52b05131a94,文言文翻译理解错误,Biology,经典错题：文言文翻译理解错误。这是一道典型的易错题，需要认真思考。,来自：Mid-Term Test,2026-02-23 23:02:56,计算过程出错,错误原因：使用了错误的方法一，导致结果偏离,仔细审清题意，圈出关键词，避免理解偏差,true,7,0.3006,[]
9dc3b023-1262-4d5b-a0f6-5233afefe47e,向量运算错误,Mathematics,易错典型题：向量运算错误。这是一道典型的易错题，需要认真思考。,来自：Final Review,2025-09-21 23:02:56,概念混淆,步骤全错了，得重新学习这部分内容,巩固基础，加强复习，概念要清晰，步骤要规范,true,0,0.3930,[]
88ad1ac8-6ed8-4424-b1e9-8bd7ad034043,生态系统能量流动,English,题目：生态系统能量流动。这是一道典型的易错题，需要认真思考。,来自：月考,2026-02-26 23:02:56,书写错误,计算步骤出错，中间某一步的数值算错了,计算时保持专注，每一步都要仔细检查,true,7,0.3132,[]
bdcea0cc-acc6-459d-afea-4f57e3c2180c,牛顿运动定律综合运用,Mathematics,易错典型题：牛顿运动定律综合运用。这是一道典型的易错题，需要认真思考。,来自：Quarterly Exam,2025-08-19 23:02:56,概念理解不清,理解题目有偏差，理解错了题目中的关键条件,计算时保持专注，每一步都要仔细检查,true,2,0.8080,[]
