ID,名称,科目,日期,重要性,掌握程度,类型
a097d443-db7d-4106-a782-07b46fd246e6,期末考试,Chemistry,2026-08-11 13:30:07,5,31,单科
00bf9e84-232c-4dbb-b310-b824d3c3f34a,模拟考试,English,2026-10-08 13:30:07,4,67,单科
01c22454-edbc-4ceb-a086-f4408fc3412e,适应性考试,Chinese,2026-07-12 13:30:07,4,18,单科
33f28c65-7c92-4cef-8718-b75c07ac2aeb,期末考试,Politics,2026-12-14 13:30:07,3,42,单科
539d32f2-bbf7-4688-ab9b-2e35da7e4fef,期末复习,Mathematics,2026-09-08 13:30:07,4,21,单科
e3b588a4-23e6-4777-8cf6-032a7d753bc9,诊断性考试,Geography,2026-07-11 13:30:07,2,90,单科
eec5dfeb-517c-416e-a6e9-2ed4515cd0cd,暑假作业检查,Geography,2026-10-10 13:30:07,3,77,单科
537c83ee-91fb-40a1-a9a6-7f760a04ed86,Quiz 1,Mathematics,2026-07-25 13:30:07,2,90,单科
67ad8312-0be8-4a5e-bbc8-a74e8af8637d,模拟考试,History,2026-07-01 13:30:07,5,46,单科
5c646bde-a709-4d45-ad0c-92a2f40051cb,Final Revision Quiz,Politics,2026-11-28 13:30:07,4,67,单科
1643f8c8-25b9-4c32-8b98-8f8e314b5add,寒假作业检查,Chemistry,2026-09-21 13:30:07,3,95,单科
1fd19a57-8cb4-452d-925d-8c8e3266cbf7,Practice Test,Biology,2026-10-27 13:30:07,3,29,单科
f60b5ffb-b3cb-42a9-b023-c373b1cc50e3,单元测验,Chinese,2026-08-02 13:30:07,4,5,单科
d61bb151-6b98-4653-bced-09909bfa8cb8,Final Review,Chinese,2026-12-18 13:30:07,1,45,单科
cf3589b1-386b-4975-9b8a-e6886824cea0,Mid-Term Test,Chinese,2026-10-26 13:30:07,5,96,单科
337228fe-a7f8-4d67-acf0-847f70a002b1,诊断性考试,Geography,2026-09-18 13:30:07,1,92,单科
53d10528-35ac-4ed3-8c35-1368afe8d821,Practice Test,Physics,2026-11-11 13:30:07,5,42,单科
d059c820-73dd-47ae-a242-a8d626ecadcf,适应性考试,English,2026-11-14 13:30:07,5,37,单科
2295d201-94da-497f-bb4b-b9c6f2c4d2fc,Quarterly Exam,Biology,2026-12-25 13:30:07,4,59,单科
df5bffa1-747b-41dd-a0e4-85227147c97d,期末复习,English,2026-12-27 13:30:07,2,25,单科
7482ba08-a25d-46ca-bd42-7bac69a6c36d,Mid-Term Test,History,2026-11-09 13:30:07,2,89,单科
dc97416e-ff57-4125-ba0f-f21508fb712b,适应性考试,History,2026-11-24 13:30:07,3,88,单科
56694bff-50db-427b-bff1-1e2a98262693,Final Review,Biology,2026-08-20 13:30:07,3,9,单科
42f289f9-55a5-4a53-ab70-5bf87f54ce09,Weekly Test,Biology,2026-09-30 13:30:07,3,57,单科
03c71f8e-c822-4ffd-99ca-800ee9804804,Practice Test,Mathematics,2026-07-17 13:30:07,2,91,单科
cc41db04-1b34-4dc5-aa06-4c1ec88b6132,Quarterly Exam,Physics,2026-10-21 13:30:07,1,61,单科
a36ac6da-439c-48fd-829e-33529664c047,End-of-Year Exam,Music,2026-07-27 13:30:07,4,51,单科
575d4b19-40f0-481d-9ce7-f1b764bd1a71,Practice Test,Chinese,2026-07-19 13:30:07,3,1,单科
13c6de69-081e-4be1-a564-4c479ae3b9fe,Mid-Term Test,English,2026-08-20 13:30:07,5,46,单科
7f506d59-d950-4358-9226-acb9806cb8fe,Mock Exam,English,2026-08-24 13:30:07,1,30,单科
b591f09e-45e2-4242-a728-a76e3175702b,摸底考试,English,2026-11-20 13:30:07,1,78,单科
99a5af62-162c-4964-a605-57e9907ea62e,期末复习,History,2026-10-14 13:30:07,1,17,单科
e9c65778-fc9c-41fd-b538-092426eeb643,Mock Exam,Chinese,2026-09-10 13:30:07,2,3,单科
d3a604f9-60b6-4daa-ba61-681f1cca8044,期末考试,Geography,2026-08-10 13:30:07,4,81,单科
